time,watts,cadence,heartrate,distance,altitude,lat,lng,velocity_smooth,temp,torque,raw_watts,raw_heartrate,left_right_balance,hrv
127,194,89,164,725.21,520.8,43.69786,40.269024,7.054,35,21,194,164,44,382
128,190,89,164,732.24,520.8,43.69791,40.269073,6.97,35,20,190,164,44,381
129,190,91,165,739.25,521.0,43.697964,40.269123,6.933,35,20,190,165,43,384
130,252,89,165,746.35,521.0,43.698017,40.269173,7.157,35,27,252,165,53,380
131,147,90,165,753.43,521.0,43.69807,40.269222,7.026,35,16,147,165,55,384
132,169,87,165,760.41,521.0,43.69812,40.26927,6.886,35,19,169,165,43,382
133,222,83,166,767.22,521.0,43.698174,40.269318,6.643,35,26,222,166,43,383
134,253,83,166,773.95,521.2,43.698223,40.26936,6.643,35,29,253,166,43,383
135,253,88,166,780.68,521.2,43.69828,40.269398,6.774,35,27,253,166,53,382
136,228,88,166,787.57,521.2,43.698338,40.26942,6.933,35,25,228,166,44,382
137,326,95,166,794.62,521.4,43.698402,40.26943,7.026,35,33,326,166,45,384
138,177,97,166,801.96,521.6,43.698467,40.26943,7.595,35,17,177,166,63,382
139,89,96,166,809.53,521.6,43.698536,40.269413,7.53,35,9,89,166,40,383
140,136,95,166,817.1,521.8,43.6986,40.269386,7.502,35,14,136,166,40,384
141,147,97,166,824.69,521.8,43.698666,40.26936,7.614,35,14,147,166,40,384
142,30,97,166,832.38,521.8,43.698734,40.269333,7.679,35,3,30,166,38,383
143,30,31,166,840.08,521.8,43.6988,40.2693,7.623,35,9,30,166,27,383
144,298,102,166,847.73,522.2,43.698864,40.269268,7.642,35,28,298,166,27,766
145,265,105,166,855.64,522.8,43.69893,40.269234,8.071,35,24,265,166,52,385
146,148,105,167,863.94,523.4,43.699,40.2692,8.304,35,13,148,167,29,382
147,148,104,167,872.22,524.0,43.69907,40.269165,8.239,35,14,148,167,40,381
148,175,106,167,880.55,524.2,43.699142,40.26913,8.379,35,16,175,167,36,387
149,88,106,167,889.0,524.2,43.699215,40.269096,8.463,35,8,88,167,54,384
150,271,108,167,897.51,524.4,43.699287,40.269066,8.566,35,24,271,167,43,384
151,248,112,167,906.17,524.4,43.69936,40.26904,8.724,35,21,248,167,49,381
152,138,114,167,915.0,524.4,43.699436,40.26901,8.873,35,12,138,167,27,384
153,84,97,167,923.91,524.6,43.699516,40.268986,8.845,35,8,84,167,27,382
154,279,104,167,932.94,524.6,43.699596,40.268967,9.144,35,26,279,167,27,382
155,169,104,168,942.29,524.6,43.69968,40.26895,9.396,35,16,169,168,45,379
156,223,103,168,951.66,524.8,43.699764,40.268944,9.293,35,21,223,168,47,381
157,196,106,168,960.88,524.8,43.69985,40.268944,9.228,35,18,196,168,30,381
158,374,109,168,970.16,524.8,43.699932,40.268948,9.368,35,33,374,168,50,379
159,77,109,168,979.65,524.8,43.700016,40.26896,9.601,35,7,77,168,50,379
160,77,106,168,989.12,525.0,43.7001,40.268974,9.387,35,7,77,168,16,379
161,57,98,168,998.45,524.8,43.700184,40.268993,9.256,35,6,57,168,17,379
162,290,105,168,1007.55,524.8,43.700264,40.269012,9.069,35,26,290,168,43,379
